Gender,Married,Dependents,Education,Self_Employed,Applicant_Income,Coapplicant_Income,Loan_Amount,Term,Credit_History,Area,FICO_Score,Loan_To_Value,Liquid_Assets,Total_Debt,Net_Worth,Status
Male,No,0,Graduate,No,584900,0,15000000,360,1,Urban,715,0.06,1169800,103203,4679200,Y
Male,Yes,1,Graduate,No,458300,150800,12800000,360,1,Rural,546,0.05,402912,0,195762,N
Male,Yes,0,Graduate,Yes,300000,0,6600000,360,1,Urban,659,0.06,0,84964,3000000,Y
Male,Yes,0,Not Graduate,No,258300,235800,12000000,360,1,Urban,650,0.09,1291500,246089,2066400,Y
Male,No,0,Graduate,No,600000,0,14100000,360,1,Urban,663,0.05,1800000,151185,0,Y
Male,Yes,2,Graduate,Yes,541700,419600,26700000,360,1,Urban,692,0.09,541700,106052,1625100,Y
Male,Yes,0,Not Graduate,No,233300,151600,9500000,360,1,Urban,671,0.08,1166500,211800,1166500,Y
Male,Yes,3+,Graduate,No,303600,250400,15800000,360,0,Semiurban,553,0.04,88328,2125200,27249,N
Male,Yes,2,Graduate,No,400600,152600,16800000,360,1,Urban,697,0.06,2003000,31234,1201800,Y
Male,Yes,1,Graduate,No,1284100,1096800,34900000,360,1,Semiurban,593,0.07,62625,12841000,1282454,N
Male,Yes,2,Graduate,No,320000,70000,7000000,360,1,Urban,658,0.07,1280000,5303,320000,Y
Male,Yes,2,Graduate,,250000,184000,10900000,360,1,Urban,669,0.09,750000,144140,2000000,Y
Male,Yes,2,Graduate,No,307300,810600,20000000,360,1,Urban,693,0.06,1229200,34056,2151100,Y
Male,No,0,Graduate,No,185300,284000,11400000,360,1,Rural,554,0.05,55032,370600,97757,N
Male,Yes,2,Graduate,No,129900,108600,1700000,120,1,Urban,676,0.05,129900,60707,389700,Y
Male,No,0,Graduate,No,495000,0,12500000,360,1,Urban,651,0.06,1485000,78832,495000,Y
Male,No,1,Not Graduate,No,359600,0,10000000,240,,Urban,688,0.05,1438400,140055,0,Y
Female,No,0,Graduate,No,351000,0,7600000,360,0,Urban,483,0.05,30200,2106000,99059,N
Male,Yes,0,Not Graduate,No,488700,0,13300000,360,1,Rural,419,0.04,166241,2443500,187203,N
Male,Yes,0,Graduate,,260000,350000,11500000,,1,Urban,678,0.07,260000,17195,2340000,Y
Male,Yes,0,Not Graduate,No,766000,0,10400000,360,0,Urban,454,0.07,677576,0,604785,N
Male,Yes,1,Graduate,No,595500,562500,31500000,360,1,Urban,675,0.06,2977500,465831,2382000,Y
Male,Yes,0,Not Graduate,No,260000,191100,11600000,360,0,Semiurban,642,0.06,116298,1820000,221790,N
,Yes,2,Not Graduate,No,336500,191700,11200000,360,0,Rural,508,0.04,183265,0,247178,N
Male,Yes,1,Graduate,,371700,292500,15100000,360,,Semiurban,460,0.05,243875,2230200,91581,N
Male,Yes,0,Graduate,Yes,956000,0,19100000,360,1,Semiurban,698,0.05,3824000,589977,8604000,Y
Male,Yes,0,Graduate,No,279900,225300,12200000,360,1,Semiurban,667,0.09,559800,253352,1399500,Y
Male,Yes,2,Not Graduate,No,422600,104000,11000000,360,1,Urban,699,0.06,845200,135067,1267800,Y
Male,No,0,Not Graduate,No,144200,0,3500000,360,1,Urban,630,0.04,129624,288400,112188,N
Female,No,2,Graduate,,375000,208300,12000000,360,1,Semiurban,695,0.09,1125000,212013,1125000,Y
Male,Yes,1,Graduate,,416600,336900,20100000,360,,Urban,489,0.06,125843,833200,169576,N
Male,No,0,Graduate,No,316700,0,7400000,360,1,Urban,434,0.04,151502,1900200,213963,N
Male,No,1,Graduate,Yes,469200,0,10600000,360,1,Rural,633,0.05,112354,1407600,433669,N
Male,Yes,0,Graduate,No,350000,166700,11400000,360,1,Semiurban,702,0.05,700000,303060,1750000,Y
Male,No,3+,Graduate,No,1250000,300000,32000000,360,1,Rural,449,0.06,706415,6250000,308615,N
Male,Yes,0,Graduate,No,227500,206700,0,360,1,Urban,710,0.09,0,59393,455000,Y
Male,Yes,0,Graduate,No,182800,133000,10000000,,0,Urban,655,0.04,127163,914000,8354,N
Female,Yes,0,Graduate,No,366700,145900,14400000,360,1,Semiurban,681,0.06,733400,276132,1100100,Y
Male,No,0,Graduate,No,416600,721000,18400000,360,1,Urban,671,0.08,416600,84671,1249800,Y
Male,No,0,Not Graduate,No,374800,166800,11000000,360,1,Semiurban,695,0.09,749600,226948,2248800,Y
