Gender,Married,Dependents,Education,Self_Employed,Applicant_Income,Coapplicant_Income,Loan_Amount,Term,Credit_History,Area,FICO_Score,Loan_To_Value,Liquid_Assets,Total_Debt,Net_Worth,Status
0,0,0,0,0,584900,0,15000000,360,1,2,715,0.06,1169800,103203,4679200,1
0,1,1,0,0,458300,150800,12800000,360,1,0,546,0.05,402912,0,195762,0
0,1,0,0,1,300000,0,6600000,360,1,2,659,0.06,0,84964,3000000,1
0,1,0,1,0,258300,235800,12000000,360,1,2,650,0.09,1291500,246089,2066400,1
0,0,0,0,0,600000,0,14100000,360,1,2,663,0.05,1800000,151185,0,1
0,1,2,0,1,541700,419600,26700000,360,1,2,692,0.09,541700,106052,1625100,1
0,1,0,1,0,233300,151600,9500000,360,1,2,671,0.08,1166500,211800,1166500,1
0,1,3,0,0,303600,250400,15800000,360,0,1,553,0.04,88328,2125200,27249,0
0,1,2,0,0,400600,152600,16800000,360,1,2,697,0.06,2003000,31234,1201800,1
0,1,1,0,0,1284100,1096800,34900000,360,1,1,593,0.07,62625,12841000,1282454,0
0,1,2,0,0,320000,70000,7000000,360,1,2,658,0.07,1280000,5303,320000,1
0,1,2,0,2,250000,184000,10900000,360,1,2,669,0.09,750000,144140,2000000,1
0,1,2,0,0,307300,810600,20000000,360,1,2,693,0.06,1229200,34056,2151100,1
0,0,0,0,0,185300,284000,11400000,360,1,0,554,0.05,55032,370600,97757,0
0,1,2,0,0,129900,108600,1700000,120,1,2,676,0.05,129900,60707,389700,1
0,0,0,0,0,495000,0,12500000,360,1,2,651,0.06,1485000,78832,495000,1
0,0,1,1,0,359600,0,10000000,240,2,2,688,0.05,1438400,140055,0,1
1,0,0,0,0,351000,0,7600000,360,0,2,483,0.05,30200,2106000,99059,0
0,1,0,1,0,488700,0,13300000,360,1,0,419,0.04,166241,2443500,187203,0
0,1,0,0,2,260000,350000,11500000,6,1,2,678,0.07,260000,17195,2340000,1
0,1,0,1,0,766000,0,10400000,360,0,2,454,0.07,677576,0,604785,0
0,1,1,0,0,595500,562500,31500000,360,1,2,675,0.06,2977500,465831,2382000,1
0,1,0,1,0,260000,191100,11600000,360,0,1,642,0.06,116298,1820000,221790,0
2,1,2,1,0,336500,191700,11200000,360,0,0,508,0.04,183265,0,247178,0
0,1,1,0,2,371700,292500,15100000,360,2,1,460,0.05,243875,2230200,91581,0
0,1,0,0,1,956000,0,19100000,360,1,1,698,0.05,3824000,589977,8604000,1
0,1,0,0,0,279900,225300,12200000,360,1,1,667,0.09,559800,253352,1399500,1
